record_id,content_hash,semantic_content_hash,fiscal_year_from_content,agency_pseudonym,workflow_stage_from_content,schema_version,identity_agreement,duplicate_of,variant_of,data_role,ground_truth_status,in_research_scope,contamination,sensitivity,file_size_bytes,formula_cache_state,identity_collision
P1REG-0041,d5c4c5daab5a22c51bff91975c0a584de5f3129e34d2ea6d2cf70396ebd2886e,9cce953ea929c9b168ec34a4584902c693f473cb9b5bc0378811f80d8dd7ca36,,,,VALOUT/FINDINGS/2SHEET,undetermined,,,UNASSIGNED,none,False,unassigned,tool_output_from_real,10092,no_formulas,False
P1REG-0042,b708b77f5305b5e6293ef771edbd5e7e5350f0bff1f3ccee4c8d86e339bacd35,1d45efda4416404f407c406c1c78ba3ce6cdad2451f4d6e38687af28dbc2fb63,,,,MOCK/P1-VALIDATOR-FIXTURE/3SHEET,undetermined,,,UNASSIGNED,none,False,unassigned,synthetic,6788,no_cached_values,False
P1REG-0043,b0fd9f5f6eef6f79c58ea2f1f6df7355cd2a021b0f0df8f42796a7de9ee55ea1,b30e693a5a54b343c15979319f8f9a71be2e9ff250739846c213706265413f81,,,,MOCK/P1-FLAT/2SHEET,undetermined,,,UNASSIGNED,none,False,unassigned,synthetic,7363,no_formulas,False
P1REG-0044,fd25c6a7b5511ca5bc61b03706cada9b4aa209ba3608e6b3f2422ad5418b1b59,059b44d6fe9a06d46fe859731044173c55a6b982ec8ddb3d266af6675194b6da,,,,VALOUT/FINDINGS/2SHEET,undetermined,,,UNASSIGNED,none,False,unassigned,tool_output_from_synthetic,9210,no_formulas,False
P1REG-0045,6ce73f261fd7daebce8563bed9bb91dcdb815f05a1dba683a10aadb6b6527f56,9ade48e143c544771f61e9f2293738d693d590d39fa7d7807ba013af4709f660,,,,VALOUT/FINDINGS/2SHEET,undetermined,,,UNASSIGNED,none,False,unassigned,tool_output_from_synthetic,9637,no_formulas,False
P1REG-0046,d7f2bc70445ef6a1a31075efa9e610623ff49cff3ee2b16844f858f7799cf75d,fbfbee4f0c6b3dbcb245035f98746d31bcd54a70e2453f97e73b04bb2cc36586,,,,VALOUT/FINDINGS/2SHEET,undetermined,,,UNASSIGNED,none,False,unassigned,tool_output_from_synthetic,7338,no_formulas,False
P1REG-0047,8a76016387cd504514d42099dacf512e7e534f4a5db3f25163a94d984ff122bb,2883a22e6814fc5655975eb38eb157e0067457618bb636a00e66c2d53aae0a5a,,,,VALOUT/FINDINGS/2SHEET,undetermined,,,UNASSIGNED,none,False,unassigned,tool_output_from_synthetic,9634,no_formulas,False
P1REG-0048,835c08b5518e4d667a2de6fdb1319ebf853c22f652311f64cb8c5a72779a4b93,ed5c427b1d03fa50e57555f2b0fddf0d29538ad8cd3fe86d59077e3eff16a6fd,2570,,,P1OUT/4SHEET/PRECHECK,undetermined,P1REG-0002,,UNASSIGNED,none,False,unassigned,synthetic,38740,no_cached_values,False
P1REG-0049,bca4bd0e10e0c64ffc5177f54f30837d603f2007fc3bcf59703b69e2978f32c1,49e8766b0d5eeb5f350656820d9ab4ce57b6bf26f325f29d8786b1bab4f1d073,,,,SYN/P1-ACCOUNTS/2SHEET,undetermined,,,UNASSIGNED,none,False,unassigned,synthetic,9089,no_formulas,False
P1REG-0050,6c4fa583edbb4ba51be1c314cb6806fd7246fc83156a3a77aca09f13486d381f,47379d2701c87ccfd00ec27f256b6e82ca9b7c05c4f21b90892eb66b36a94555,2570,,,P1OUT/4SHEET/PRECHECK,undetermined,P1REG-0003,,UNASSIGNED,none,False,unassigned,synthetic,54016,fully_cached,False
